player_id,player_name,opponent_id,opponent_name,opponent_country,total,wins,draws,losses,white_total,white_wins,white_draws,white_losses,black_total,black_wins,black_draws,black_losses,std_total,std_wins,std_draws,std_losses,rpd_total,rpd_wins,rpd_draws,rpd_losses,blz_total,blz_wins,blz_draws,blz_losses
2016192,"Nakamura, Hikaru",14603853,"Lenic, Luka",SLO,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",8604436,"Li, Chao b",CHN,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",2056437,"Liang, Awonder",USA,2,0,2,0,1,0,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",900010,"Ljubojevic, Ljubomir",SRB,4,2,1,1,2,1,0,1,2,1,1,0,4,2,1,1,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",8603332,"Lu, Shanglei",CHN,3,2,1,0,2,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1
2016192,"Nakamura, Hikaru",2025710,"Mabe, Chris",USA,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",1104306,"Macieja, Bartlomiej",POL,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",12539929,"Maghsoodloo, Parham",IRI,6,4,1,1,3,3,0,0,3,1,1,1,1,0,1,0,2,2,0,0,3,2,0,1
2016192,"Nakamura, Hikaru",13601717,"Maisuradze, Nino",FRA,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",12800031,"Malisauskas, Vidmantas",LTU,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2016192,"Nakamura, Hikaru",13401653,"Mamedov, Rauf",AZE,4,2,2,0,1,0,1,0,3,2,1,0,2,0,2,0,0,0,0,0,2,2,0,0
2016192,"Nakamura, Hikaru",13401319,"Mamedyarov, Shakhriyar",AZE,56,22,26,8,24,11,9,4,32,11,17,4,18,3,11,4,12,6,6,0,26,13,4,9
2016192,"Nakamura, Hikaru",607274,"Marcelin, Cyril",FRA,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
